A
A.B. =(=able body) | potocznie starszy marynarz
practical | realny, mo¿liwy, praktyczny
practical application | zastosowanie praktyczne
practice muster | alarm æwiczebny
Pre-Cambrian | prekambr
precautions (pri’kosznz) | œrodki ostro¿noœci
precise(pri’sajz) | dok³adny, precyzyjny
preheating(pri’hiting) | podgrzewanie
preload (pri’loud) | obci¹¿enie wstêpne
prepare (pri’pe) | przygotowaæ
prepare for cement job (pri’pe fo si’ment d¿ob) | przygotowanie do prac cement.
prepare to make up bit (pri’pe tu mejk ap byt) | przygotowanie do skrêcania œwidra
prepare to run in the hole (pri’pe tu ran yn fe houl) | przygotowanie do zapuszczania
present (‘preznt) | obecny, obecnie, aktualny, /prezent/, /przedstawiaæ (np. wyniki)/
present depth (‘preznt dept) | obecna g³êbokoœæ
present stock (‘preznt stok) | stan zapasów bie¿¹cy
present value (‘preznt walju) | wartoœæ bie¿¹ca
press-button | przycisk, guzik kontaktowy
pressure (‘presze) | ciœnienie, napór, nacisk
pressure build up | odbudowa ciœnienia, wzrost ciœnienia
pressure control | regulacja ciœnienia, opanowanie wyp³ywu
pressure core barrel | rdzeniówka gazoszczelna
pressure gauge (‘presze gejd¿) | manometr ciœnienia
pressure governor | regulator ciœnienia
pressure is droping (‘presze yz ‘droping) | ciœnienie spada
pressure is going up (‘presze yz ‘gouing ap) | ciœnienie wzrasta
pressure loss (‘presze los) | strata ciœnienia (np. podczas przep³ywu)
pressure rising | wywarcie ciœnienia na opróbowany element
pressure test (‘presze test) | ciœnieniowa próba szczelnoœci
pressure test with water (‘presze test ³yd ³ote) | próba szczelnoœci na wodzie
pressurized area | strefa o zwiêkszonym ciœnieniu


preventer (pri’wente) | prcwcntcr, g³owica przeciwwybuchowa
prevention=(=preventive treatment, prophylaxis) | profilaktyka
previous (priwijcs) | poprzedni
price list | cennik
primary anchor | kotwica g³ówna
primary packer=(=primary seal) | dolne uszczelnienie rury w wiê¿bie 
prime mover | napêd g³ówny 
printout | wydruk
probability | prawdopodobieñstwo
producing formation=(=horizon) | pok³ad geologiczny produktywny 
producing zone (pre’djusing zoun) | strefa produktywna z³o¿a 
production | wydobycie, produkcja
production casing (pre’dakszn ‘kcjsing) | kolumna eksploatacyjna rur ok³adzinowych
production engineer (pre’dakszn cndzi’nicr) | in¿ynier eksploatator
production packer (pre’dakszn ‘pake) | paker eksploatacyjny
production platform | platforma produkcyjna (eksploatacyjna)
production testing (pre’dakszn ‘testing) | opróbowanie otworu
production well head (pre’dakszn lei lied) | g³owica eksploatacyjna
production we!l=(=producer) | otwór (odwiert) produktywny
professional qualification | kwalifikacje zawodowe
profiled iron | kszta³towniki stalowe
profitable | rentowny
progress (‘progres) | postêp, progres, prêdkoœæ wiercenia, rozwój 
prominent | wystaj ¹cy, /widoczny/, /wybitny/ 
promotion | awans, /promocja/, /reklama/
prompt | natychmiastowy, niezw³oczny, /terminowy, punktualny/ 
proof load | obci¹¿enie próbne
proof (pruf) | odporny, uodpamiaæ, /dowód, atest/, /sprawdzenie, korekta/ 
prop | podpora, stojak, podpieraæ, stemplowaæ 
propane | propan
propeller (‘propele) | œruba napêdowa (np. ³odzi, statku), pêdnik 
proppant=(=propping agent) | œrodek podsadzaj¹cy w szczelinowaniu hydraulicznym 
prospect | poszukiwaæ, /perspektywa/
prospect well=(=prospecting well, exploration well) | otwór poszukiwawczy 
prospect weIl=(=discovery well) | otwór poszukiwawczy 
protected by law | prawnie chroniony 
protecting pillar | filar ochronny
protection | ochrona, zabezpieczenie, urz¹dzenie zabezpieczaj¹ce
protection area | strefa bezpieczeñstwa
protective apron | fartuch ochronny
protective clothing | ubranie ochronne
protective coat (pro’tektyw kout) | p³aszcz ochronny
protective coating=(=protective film) | pow³oka ochronna
protective gloves (pro’tektyw glawz) | rêkawice ochronne
protective goggles=(=protective glasses) | okulary ochronne
protective shoes (pro’tektyw szus) | obuwie ochronne
protector (pro’tekte) | ochraniacz
provision room | magazyn prowiantowy


psi=(=pound per square inch)  | funl na cal kwadratowy (jedn. cii. 1 psi= 0,07 aim) 
psia=(=pound per square inch absolute) | funl na cal kwadrat.(/edn. ciœ. bezwzgl.) 
psig=(=pound per sgnare inch gauge) | funl na cal kwadrat, pomierzony (jedn. ciœ.) 
public liability insurance | ubezpieczenie od odpowiedzialnoœci cywilnej 
puddling | potocznie ruszanie rurami w trakcie cementowania 
pull back (pul bek) | odci¹gaæ
puli (pul) | ci¹gn¹æ, ci¹gnienie, rozci¹ganie, naci¹g 
pull in (pul yn) | wci¹gaæ
pull out (pul aut) | wyci¹gaæ, wyrwaæ z otworu 
pull over (pul ‘ouwe) | przeci¹gaæ, naci¹gaæ 
pull rod | ciêg³o
puli lip (pul ap) | podci¹gn¹æ przewód 
puller | œci¹gacz (np. do ³o¿ysk, gniazd zaworów itp.) 
pulley (puli) | rolka, blok, kr¹¿ek (linowy) 
pull-on time | czas wyci¹gania przewodu
pulsation damper | kompensator pulsacj i (na ruroci¹gu, pompie)
pump (pamp) | pompa, pompowaæ
pump delivery | wydatek pompy
pump liner (pamp ‘Iajne) | tuleja pompy
pump over (pamp ‘ouwe) | przepompowaæ
pump piston | t³ok pompy
pump pressure (pamp ‘presze) | ciœnienie robocze na pompie (t³oczenia)
pump priming | zalanie pompy
pump rate (pamp rejt) | wydajnoœæ pompy
pump rod (pamp rod) | trzon pompy p³uczkowej
pump room (pamp rum) | pompownia
pump stroke (pamp strouk) | suw pompy, skok pompy
pump stroke counter (pamp strouk ‘kaunte) | licznik suwów pompy
pumping cement (‘pamping si’ment) | t³oczenie zaczynu cementowego
punch | przebijak, punktak, dzturkacz, dziurkowaæ, punktowaæ punk lakiem
puncher | wiertarka udarowa
punch mark=(=punch) | punktak
punner | ubijak, ubijanie ziemi
pup-joint (pap d¿ojnt) | krótki kawa³ek przewodu wiertniczego lub obci¹¿nika 
purchase (‘peczys) | kupno
purchase order (‘peczys ‘ode) | zlecenie zakupu
purchase price (‘peczys prajs) | cena zakupu
purchase request | ¿¹danie zakupu
pure (‘pjue) | czysty (bez domieszek)
purifier | oczyszczacz (np. wody), oczyszczalnik
purify (‘pjurifaj) | oczyszczaæ
push (pusz) | pchaæ, /przycisk elektryczny/
push in (pusz yn) | wpychaæ, wciskaæ
push off (pusz of) | spychaæ
push out (pusz aut) | wypychaæ
push-button (pusz ‘batn) | przycisk, guzik kontaktowy
pusher (‘pusze) | popychacz, pchacz, lokomotywa pchaj ¹ca, /potocznie toolpusher/ 
put in | w³¹czyæ, /wk³adaæ/, /instalowaæ/, /uruchamiaæ/, /wejœæ do portu/


put off | odbiæ od nabrze¿a, /odk³adaæ/, /rozpraszaæ/
put on | nak³adaæ, zak³adaæ, /naciskaæ np. hamulec/, /w³¹czaæ/, /wstawiaæ/
put on stream | przekazaæ do eksploatacji
put out of aclion=(=put out) | unieruchomiæ (np. urz¹dzenie)
put together (put tu’gede) | sk³adaæ, z³o¿yæ (np. urz¹dzenie), organizowaæ
Q
quadrat | kwadrat
qualify | kwalifikowaæ, uzyskaæ kwalifikacje 
quality certificate | œwiadectwo jakoœci (wyrobu) 
quality (‘kuolyti)-jakoœæ, /w³asnoœæ, cecha/ 
quantity (‘kuontyti) | iloœæ, wielkoœæ 
quantity meter | przep³ywomierz 
quantity of flow | wielkoœæ przep³ywu 
quarry | kamienio³om, /p³yta pod³ogowa kamienna/ 
quarter bill | rozk³ad alarmowy 
quarters | kwatery
quarters platform=(=q-platform) | platforma mieszkalna (odseparowana)
quartz crystal | kryszta³ górski
quartz | kwarc
quartzite | kwarcyt
Quaternary | czwartorzêd
quay=(=quayside) | nabrze¿e
quench | hartowaæ (metal)
quench and temper | ulepszaæ cieplnie
quick clay (k³yk klej) | i³ p³ynny (potocznie i³y p³yn¹ce)
quick connection (ldyk ke’nekszn) | po³¹czenie szybkoskrêtne
quick ground | kurzawka
quick setting cement | cement szybkowi¹¿¹cy 
quick-acting | szybko dzia³aj¹cy 
quick-break fuse | bezpiecznik bezzw³oczny 
quick-closing valve | zawór szybko zamykaj¹cy 
quicklime | wapno palone
quicksand=(=quick ground) | sypki piasek, kurzawka 
quicksilver=(=Hg) | rtêæ
R
rabbit (rebyt) | potocznie skrobak do rur, /szablon do rur/, /królik/
race (rejs) | bie¿nia ³o¿yska, panewka, /kana³ (dop³ywowy lub odp³ywowy)/
rack (rek) | rampa (np. rurowa), /wieszak, stojak, rega³/, /zêbatka/
rack-rail | szyna zêbata
rack wheel (rek lii) | ko³o zêbate
radar set=(=radiolocation) | radar, radiolokator
radial clearance | luz poprzeczny
radiation log (redi’jejszn log) | karota¿ radioaktywny
radiation source=(=radioactive source) | Ÿród³o promieniowania
radiator | ch³odnica, /grzejnik, kaloryfer/, /antena/, /element promieniuj¹cy/
radiator shutter | ¿aluzja ch³odnicy
radio (‘rejdiou) | radio, odbiornik radiowy, nadawaæ przez radio 
radio beacon buoy | p³awa radarowa (p³awa radio³atamia)


radio bcacon=(=beacon) | radiolatarnia 
radio channel (‘rejdioii czanl) | kana³ radiowy 
radio comand | rozkaz radiowy
radio communication (‘rcjdion komjuni’kejszn) | ³¹cznoœæ radiowa 
radio opcrator=(=r/o) | radiooperator, radiooficer 
radio room (‘rejdiou rum) | kabina radiooperatora
radio silence | cisza radiowa (np. w czasie niektórych prac geofizycznych)
radio watch (‘rejdiou tocz) | nas³uch radiowy
radio waves | fale radiowe
radius of a circle | promieñ okrêgu
radius of curvature | promieñ krzywizny
radius of deviation | promieñ krzywizny
radius of fillet | promieñ wyokr¹glenia
radius of investigation | sto¿ek depresji wokó³ odwiertu eksploatacyjnego 
raft (reft) | tratwa ratunkowa, tratwa 
rag (reg) | szmata, czyœciwo
rail (reil) | szyna, porêcz, porêcz nadburcia, reling
railing (‘reiling) | reling, barierka (np. wokó³ zbiorników, schodów, urz¹dzeñ itp.) 
rain (rein) | deszcz
rainfall=(=rain fali) (‘reinfol) | opad deszczu 
rainproof | nieprzemakalny
rainwater=(=rain water) (‘rein³ote) | woda deszczowa, deszczówka
raincoat=(=mac, mackintosh) | p³aszcz przeciwdeszczowy/ (nieprzemakalny)
rainstorm=(=rain gush) | ulewa, nag³y silny deszcz
rainy season | pora deszczowa
raise the production | zwiêkszaæ produkcj ê
rake | pochylenie, k¹t pochylenia, /z³o¿e stromo zalegaj¹ce/, /grabie/
R/A marker=(=radioactive marker) | Ÿród³o radioaktywne instalowane na przewodzie
wiertniczym lub syfonówkach (do korelacji g³êbokoœci przez geofizykê)
ram | potocznie szczêka prewentera, /suwak (maszyny)/, /bijak kafara/, /taran/, /nurnik/
rams=(=BOP rams) | potocznie szczêki prewentera
blind rams | szczêki pe³ne prewentera
pipe rams | szczêki (tip. na przewód, rury, syfonówki)
shear rams | szczêki pe³ne œcinaj¹ce (z no¿em tn¹cym przewód, rury itp.)
ram shaft | trzon popychaj ¹cy szczêki prewentera
ramming | ubijanie
ramose | rozga³êziony
ramp (remp) | rampa (np. rurowa), pochylnia, podjazd
random | przypadkowy, losowy
random event | zdarzenie losowe
random failure | awaria przypadkowa
random test | próba losowa
range | zakres, przedzia³, /zasiêg, donoœnoœæ/, /kategoria, klasa/, /poligon/ 
range from 	 to 	  | siêgaæ od	do	
range length | przedzia³ d³ugoœci (np. rur, syfonówek, przewodu wiertniczego itp.)
range of adjustment | zakres regulacji
rapid growth | szybki wzrost
rarefaction | rozrzedzanie (np. p³uczki, solanki)


rat hole (ret haul) | boczny otwór (na graniatkê), /otwór pilotowy/ 
ratchet | zapadka, ko³o zapadkowe, mechanizm zapadkowy 
ratchet and pawi | mechanizm zapadkowy (komplet) 
ratchet screwdriver | œrubokrêt z grzechotk¹ 
ratchet spanner | klucz z grzechotk¹
rate (reit) | wartoœæ, wielkoœæ, stopieñ, /szybkoœæ, tempo/, /stawka, kurs/ 
rated | znamionowy, nominalny
rated load | obci¹¿enie znamionowe, obci¹¿enie nominalne
rated power | moc znamionowa
rate of afflux | natê¿enie dop³ywu
rate of discharge | natê¿enie wyp³ywu
rate of drilling (reit ow ‘dryling) | prêdkoœæ wiercenia
rate of flow (reit ow flou) | natê¿enie przep³ywu
rate of penetration=(=ROP) | mechaniczna prêdkoœæ wiercenia
rate of wear (reit ow le) | tempo (szybkoœæ) zu¿ycia
rat-hole scabbard | rura bocznego otworu
ratio (‘rejszio) | stosunek, proporcja
raw=(=crude) | surowy, nieprzerobiony
raw material | surowiec
raw gas | gaz surowy (nieoczyszczony)
raw oil=(=crude oil) | olej surowy, ropa surowa (nieoczyszczona) 
ray | promieñ, /promieñ, pó³prosta/
reach (ricz) | zasiêg, siêgaæ, osi¹gn¹æ, /prosty odcinek rzeki/ 
reach a conclusion | doj œæ do wniosku 
reach a speed | osi¹gn¹æ szybkoœæ
reach equilibrium | osi¹gn¹æ równowagê, dojœæ do równowagi
reach maximum value | osi¹gn¹æ wartoœæ maksymaln¹
reach over a long distance | siêgaæ na du¿¹ odleg³oœæ
reach the target | osi¹gn¹æ cel
react (ri’ekt)-reagowaæ, oddzia³owywaæ
reactive power | moc bierna (elektryczna)
readily soluble | ³atwo rozpuszczalny
readily volatile | bardzo lotny
readily welded | dobrze spawalny
reading | wskazanie przyrz¹du pomiarowego
reading error | b³¹d odczytu
readjust (ri-e’d¿ast) | naprawiæ, podregulowaæ
readjust | ponownie nastawiaæ, ponownie regulowaæ, przeregulowaæ
ready (‘redi) | gotowy, przygotowany
ready for use (‘redi fo juz) | gotowe do u¿ycia
real power | moc czynna
real (riel) | rzeczywisty, faktyczny, prawdziwy
ream=(=redrill) | przerabiaæ otwór, rozwiercaæ otwór, poszerzaæ otwór
reamer=(=rimer) | rymer, rozszerzak, /rozwiertak/
reaming (‘riming) | przerabianie otworu wiertniczego
rear (‘rije)=(=back, stern) | ty³, tylny, z ty³u
rear view (‘rije wju) | widok od ty³u
reassembly | ponowny monta¿


rebuild (ri’bild) | regenerowaæ, przebudowywaæ, napawaæ regeneracyjnie 
rcceipt (ri’sit) | odbiór, /kwit, pokwitowanie/ 
receivc (ri’siw) | otrzymaæ, przyj¹æ, odbieraæ
receiver (ri’siwe) | odbiornik, /odbieralnik (zbiornik)/, /s³uchawka/ 
recementing (risi’ menting) | docementowanie
reciprócale (ri’siprokejt) | poruszaæ siê ruchem postêpowo-zwrolnym 
reciprocating | miechowanie, ruszanie rurami w czasie cementowania 
recirculation | obieg zamkniêty
reclaim | regenerowaæ, odzyskiwaæ, /¿¹daæ zwrotu, wycofaæ/ 
recognition | rozpoznanie, rozpoznawanie 
recognize (‘rekegnajz) | rozpoznawaæ, wykrywaæ 
recommendation (rekomen’dejszn) | zalecenie, rekomendacja 
recommended spares | zalecane (przez producenta) czêœci zamienne 
recompletion | pog³êbienie odwiertu (do nowego horyzontu) 
recondition | odnawiaæ, przywracaæ do stanu u¿ytkowego
record | rejestr, zapis, /rekord (naj lepszy wynik)/, /p³yta gramofonowa/, zapisywaæ 
recorder (ri’kode) | przyrz¹d rejestruj¹cy, rejestrator
circulation rate recorder | rejestrator wydajnoœci cyrkulacji 
drilling rate recorder | rejestrator prêdkoœci mech. wiercenia 
liquid level recorder | rejestrator poziomu p³ynu
memory recorder | rejestrator par. wg³êbnych (multi) z pamiêci¹ komputerow¹ 
mud flow recorder | rejestrator przep³ywu p³uczki (zazwyczaj powrotu) 
mud pressure | rejestrator ciœnienia hydrostatycznego p³uczki (rozk³adu ciœ.) 
mud weight recorder | rejestrator ciê¿aru p³uczki (wchodz¹cej lub wychodz¹cej) 
pressure recorder | rejestrator ciœnienia (ciœnieniomierz z zapisem ci¹g³ym) 
rotary speed recorder | rejestrator prêdkoœci obrotowej sto³u wiertniczego 
rotary torque recorder | rejestrator momentu obrotowego sto³u wiertniczego 
temperature recorder | rejestrator temperatury
        tong torque recorder | rejestrator momentu klucza masz./ hydraulicznego 
well test recorder | rejestrator (multi) parametrów testu produkcyjnego 
recovery(ri’kaweri) | uzysk, wydobycie, odzysk, powrót do normalnego stanu 
recreation room | œwietlica, pomieszczenie (kontener) do odpoczynku 
recruiting=(=recruitment, draft, conscription) | rekrutacja personelu 
rectangle (rektangl) | prostok¹t 
rectangular (rek’tangjule) | prostok¹tny 
recurrence | nawrót, powtarzanie siê
recycling | zu¿ywanie wielokrotne, zawracanie do obiegu
red beds | czerwony sp¹gowiec
red brass | tombak
red clay (red klej) | i³ czerwony
red marl | kajper, /margle/
red pole (red poul) | biegun dodatni magnesu
reddish | czerwonawy
redesign | zmiana projektowa, zmieniaæ konstrukcjê, przeprojektowaæ 
redevelopment | przebudowa
redrill=(=rcam) | przerabianie otworu wiertniczego, wierciæ ponownie 
reduce (ri’djus) | zmniejszyæ, zredukowaæ
reduce the staff | zmniejszaæ (redukowaæ) liczebnoœæ personelu


reduce to zero | sprowadzaæ do /.era (np. ciœnienie) 
reduced pressure | ciœnienie zredukowane 
reducer gear | przek³adnia redukcyjna
reducer | reduktor, ³¹cznik redukcyjny, przek³adnia zmniejszaj¹ca
reducer sleeve | tuleja redukcyjna
reducing elbow | kolanko rurowe redukcyjne
reducing flange | ko³nierz redukcyjny
reducing nipple | ³¹cznik redukcyjny
reduction of cost | obni¿ka kosztów
reduction ratio | prze³o¿enie przek³adni redukcyjnej
reduntant | nadliczbowy, rezerwowy, nadmierny
reed horn (rid hon) | róg mg³owy
reed relay=(=reed switch) | kontaktron, przekaŸnik hermetyczny
reef | rafa, /¿y³a kruszcowa/
reefer stores | ch³odnia prowiantowa
reel (ril) | szpula, bêbenek do nawijania, /zwój, rolka/
reel up (ril ap) | nawijaæ na bêben
reel-off (ril-of) | rozwijaæ z bêbna
re-entry | powrót, wejœcie ponowne do otworu morskiego, najœcie na otwór wiertniczy
re-entry shoe | kielichowy but syfonówek lub przewodu (do wprowadzenia narzêdzi na kablu)
reeve | przewlekaæ (np. linê przez otwór), olinowywaæ wielokr¹¿ki
reeving line | linka prowadnicza (do przewlekania liny grubej stalowej)
reeving pattern | kolejnoœæ zak³adania liny na wielokr¹¿ki
refacer | narzêdzie do obróbki gniazd zaworowych
refer to.... (ri’fe tu....) | odnosiæ siê do	
reference line (‘referens ³ajn) | linia odniesienia, baza wymiarowa
reference mark | znak pomiarowy, pocz¹tek odczytu, punkt „zero” na skali, /odnoœnik/
reference plane (‘referens plejn) | p³aszczyzna odniesienia
reference point (‘referens point) | punkt odniesienia, punkt nawi¹zania
reference state (‘referens stejt) | stan odniesienia
reference system | uk³ad odniesienia
refill | wk³ad zapasowy (np. d³ugopisu, gaœnicy itp.), ponownie nape³niaæ 
refinery | rafineria
